,Title,Price,PID,Location,Bedroom,Bathroom,Toilet,Status,Date Added,Date Updated
0,4 bedroom House for rent Ikota Lekki Lagos," 5,500,000/year ",7KZAE,Ikota Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",26 Feb 2024,02 May 2024
1,2 bedroom House for rent Ikate Lekki Lagos," 6,000,000/year ",1LCWR,Ikate Lekki Lagos,2,3,3,"Furnished ,Serviced ,Newly Built",02 Apr 2024,02 May 2024
2,2 bedroom House for rent Ikate Lekki Lagos," 6,000,000/year ",4LBHX,Ikate Lekki Lagos,2,3,3,"Furnished ,Serviced ,Newly Built",18 Mar 2024,02 May 2024
3,2 bedroom House for rent Ikate Lekki Lagos," 6,000,000/year ",4LENM,Ikate Lekki Lagos,2,2,2,"Serviced ,Newly Built",17 Apr 2024,02 May 2024
4,2 bedroom Flat / Apartment for rent Aguda Surulere Lagos," 2,500,000/year ",8LCCU,Aguda Surulere Lagos,2,0,0,,25 Mar 2024,02 May 2024
5,5 bedroom House for rent Ikoyi Lagos," 23,000,000/year ",7LEAU,Ikoyi Lagos,5,6,6,"Serviced ,Newly Built",12 Apr 2024,02 May 2024
6,4 bedroom House for rent Off Harris Drive VGC Lekki Lagos," 6,000,000/year ",8LENG,Off Harris Drive Vgc Lekki Lagos,4,5,5,Newly Built,17 Apr 2024,02 May 2024
7,4 bedroom House for rent orchid Lekki Lagos," 7,000,000/year ",6LEKJ,Orchid Lekki Lagos,4,5,5,Newly Built,16 Apr 2024,02 May 2024
8,4 bedroom House for rent Ikota Lekki Lagos," 5,500,000/year ",3LENP,Ikota Lekki Lagos,4,5,5,Newly Built,17 Apr 2024,02 May 2024
9,5 bedroom House for rent Banana Island Ikoyi Lagos," 60,000,000/year ",1LBQE,Banana Island Ikoyi Lagos,5,6,6,"Furnished ,Serviced ,Newly Built",20 Mar 2024,02 May 2024
10,5 bedroom House for rent VGC Lekki Lagos," 15,000,000/year ",7LCWR,Vgc Lekki Lagos,5,6,6,"Furnished ,Serviced ,Newly Built",02 Apr 2024,02 May 2024
11,4 bedroom House for rent Ikota Lekki Lagos," 5,000,000/year ",6KZLB,Ikota Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",29 Feb 2024,02 May 2024
12,4 bedroom House for rent Orchid chevron Lekki Lagos," 7,000,000/year ",6LCWQ,Orchid Chevron Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",02 Apr 2024,02 May 2024
13,4 bedroom House for rent Osapa london Lekki Lagos," 7,000,000/year ",2LDQL,Osapa London Lekki Lagos,4,5,5,Newly Built,08 Apr 2024,02 May 2024
14,4 bedroom House for rent Lekki County Ikota Lekki Lagos," 6,000,000/year ",4LBQF,Lekki County Ikota Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",20 Mar 2024,02 May 2024
15,4 bedroom House for rent Lekki County Ikota Lekki Lagos," 6,000,000/year ",4LBQF,Lekki County Ikota Lekki Lagos,4,5,5,,20 Mar 2024,02 May 2024
16,5 bedroom House for rent Victory Park Estate Osapa london Lekki Lagos," 16,000,000/year ",1LCRK,Victory Park Estate Osapa London Lekki Lagos,5,6,6,Newly Built,30 Mar 2024,02 May 2024
17,4 bedroom House for rent Lekki Phase 1 Lekki Lagos," 13,000,000/year ",0LCRK,Lekki Phase 1 Lekki Lagos,4,5,5,Newly Built,30 Mar 2024,02 May 2024
18,3 bedroom House for rent Ologolo Lekki Lagos," 5,000,000/year ",5LBHZ,Ologolo Lekki Lagos,3,4,4,"Furnished ,Serviced ,Newly Built",18 Mar 2024,02 May 2024
19,2 bedroom Flat / Apartment for rent Iyana Ipaja Ipaja Lagos," 1,200,000/year ",8LFAQ,Iyana Ipaja Ipaja Lagos,2,0,0,,22 Apr 2024,02 May 2024
20,3 bedroom Flat / Apartment for rent Ikola Ipaja Lagos," 1,000,000/year ",4LFKS,Ikola Ipaja Lagos,3,0,0,,25 Apr 2024,02 May 2024
21,4 bedroom House for rent Ikota Lekki Lagos," 5,500,000/year ",4KZDS,Ikota Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",27 Feb 2024,02 May 2024
22,5 bedroom House for rent Lekki Phase 1 Lekki Lagos," 12,000,000/year ",0LENN,Lekki Phase 1 Lekki Lagos,5,6,6,"Serviced ,Newly Built",17 Apr 2024,02 May 2024
23,4 bedroom House for rent Osapa london Lekki Lagos," 7,000,000/year ",3LDBN,Osapa London Lekki Lagos,4,5,5,Serviced,03 Apr 2024,02 May 2024
24,4 bedroom House for rent  orchid Lekki Lagos," 7,000,000/year ",8LDHT,Orchid Lekki Lagos,4,5,5,"Serviced ,Newly Built",05 Apr 2024,02 May 2024
25,4 bedroom House for rent orchid Lekki Lagos," 5,000,000/year ",9LEKE,Orchid Lekki Lagos,4,5,5,Newly Built,16 Apr 2024,02 May 2024
26,3 bedroom House for rent Ikoyi Lagos," 25,000/year ",9LCVN,Ikoyi Lagos,3,4,4,"Furnished ,Serviced ,Newly Built",01 Apr 2024,02 May 2024
27,2 bedroom House for rent Ikate Lekki Lagos," 6,000,000/year ",4KZAF,Ikate Lekki Lagos,2,3,3,"Furnished ,Serviced ,Newly Built",26 Feb 2024,02 May 2024
28,4 bedroom House for rent Ikate Lekki Lagos," 8,000,000/year ",5LEBT,Ikate Lekki Lagos,4,5,5,"Serviced ,Newly Built",13 Apr 2024,02 May 2024
29,1 bedroom Flat / Apartment for rent Lekki County Homes Ikota Lekki Lagos," 2,500,000/year ",4LFZD,Lekki County Homes Ikota Lekki Lagos,1,1,2,Serviced,30 Apr 2024,02 May 2024
30,"1 bedroom Flat / Apartment for rent Jacob Street, Fadeyi Yaba Yaba Lagos"," 1,300,000/year ",2LEUB,"Jacob Street, Fadeyi Yaba Yaba Lagos",1,0,0,,19 Apr 2024,02 May 2024
31,5 bedroom House for rent Lekki Phase 1 Lekki Lagos," 12,000,000/year ",7KXYE,Lekki Phase 1 Lekki Lagos,5,6,6,Serviced,15 Feb 2024,02 May 2024
32,5 bedroom House for rent Lekki Phase 1 Lekki Lagos," 12,000,000/year ",7KXYE,Lekki Phase 1 Lekki Lagos,5,6,6,,15 Feb 2024,02 May 2024
33,2 bedroom House for rent Ologolo Lekki Lagos," 5,500,000/year ",0LFLS,Ologolo Lekki Lagos,2,3,3,Serviced,25 Apr 2024,02 May 2024
34,2 bedroom House for rent  Agungi Lekki Lagos," 4,000,000/year ",3LCRM,Agungi Lekki Lagos,2,3,3,Newly Built,30 Mar 2024,02 May 2024
35,Commercial Property for rent Lekki Phase 1 Lekki Lagos," 25,000,000/year ",3KHCT,Lekki Phase 1 Lekki Lagos,0,0,0,"Furnished ,Serviced ,Newly Built",07 Oct 2023,02 May 2024
36,4 bedroom House for rent Lekki Phase 1 Lekki Lagos," 15,000,000/year ",8KZAB,Lekki Phase 1 Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",26 Feb 2024,02 May 2024
37,4 bedroom House for rent Lekki Phase 1 Lekki Lagos," 15,000,000/year ",9LCUB,Lekki Phase 1 Lekki Lagos,4,5,5,"Serviced ,Newly Built",31 Mar 2024,02 May 2024
38,"4 bedroom House for rent Chevron Toll Gate, Orchid Lekki Lagos"," 7,000,000/year ",7LDHT,"Chevron Toll Gate, Orchid Lekki Lagos",4,5,5,"Serviced ,Newly Built",05 Apr 2024,02 May 2024
39,3 bedroom House for rent Banana Island Ikoyi Lagos," 18,000,000/year ",2LFBL,Banana Island Ikoyi Lagos,3,3,3,Newly Built,22 Apr 2024,02 May 2024
40,3 bedroom House for rent Osapa london Lekki Lagos," 5,000,000/year ",2LAPN,Osapa London Lekki Lagos,3,4,4,"Serviced ,Newly Built",11 Mar 2024,02 May 2024
41,House for rent Victoria Island Lagos," 21,100,000 ",3KGFY,Victoria Island Lagos,0,0,0,"Furnished ,Serviced ,Newly Built",02 Oct 2023,02 May 2024
42,4 bedroom House for rent Lekki Phase 1 Lekki Lagos," 20,000,000/year ",6LCUC,Lekki Phase 1 Lekki Lagos,4,5,5,Newly Built,31 Mar 2024,02 May 2024
43,4 bedroom House for rent Ikota Lekki Lagos," 5,000,000/year ",9LCVQ,Ikota Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",01 Apr 2024,02 May 2024
44,5 bedroom House for rent Banana Island Ikoyi Lagos," 40,000,000/year ",9KWAH,Banana Island Ikoyi Lagos,5,6,6,Newly Built,27 Jan 2024,02 May 2024
45,4 bedroom House for rent Ikate Lekki Lagos," 7,000,000/year ",7LBNW,Ikate Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",20 Mar 2024,02 May 2024
46,4 bedroom House for rent Ikota Villa Lekki Lagos," 6,000,000/year ",1LBPA,Ikota Villa Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",20 Mar 2024,02 May 2024
47,4 bedroom House for rent Ikota Lekki Lagos," 6,000,000/year ",9LBQD,Ikota Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",20 Mar 2024,02 May 2024
48,5 bedroom House for rent Old Ikoyi Ikoyi Lagos," 25,000,000/year ",2LDHU,Old Ikoyi Ikoyi Lagos,5,6,6,"Serviced ,Newly Built",05 Apr 2024,02 May 2024
49,4 bedroom House for rent Lekki Phase 1 Lekki Lagos," 12,000,000/year ",4LEES,Lekki Phase 1 Lekki Lagos,4,5,5,Serviced,15 Apr 2024,02 May 2024
50,5 bedroom House for rent Agungi Lekki Lagos," 13,000,000/year ",4KZDV,Agungi Lekki Lagos,5,6,6,"Furnished ,Serviced ,Newly Built",27 Feb 2024,02 May 2024
51,4 bedroom House for rent Orchid chevron Lekki Lagos," 6,000,000/year ",6LCVM,Orchid Chevron Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",01 Apr 2024,02 May 2024
52,4 bedroom House for rent chevron Lekki Lagos," 9,500,000/year ",4KZDP,Chevron Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",27 Feb 2024,02 May 2024
53,4 bedroom House for rent Omole phase 2 Ojodu Lagos," 7,500,000/year ",2LFAR,Omole Phase 2 Ojodu Lagos,4,0,0,,22 Apr 2024,02 May 2024
54,Flat / Apartment for rent Oduduwa Kilo-Marsha Surulere Lagos," 2,500,000/year ",3LAVN,Oduduwa Kilo Marsha Surulere Lagos,0,0,0,,13 Mar 2024,02 May 2024
55,Commercial Property for rent Fashoro Street Surulere Lagos," 2,000,000/year ",5LETW,Fashoro Street Surulere Lagos, ,0,0,,19 Apr 2024,02 May 2024
56,4 bedroom House for rent Osapa london Lekki Lagos," 8,000,000/year ",8LCVK,Osapa London Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",01 Apr 2024,02 May 2024
57,3 bedroom House for rent Falolu Western Avenue Surulere Lagos," 5,500,000/year ",4LEQU,Falolu Western Avenue Surulere Lagos,3,0,0,,18 Apr 2024,02 May 2024
58,3 bedroom House for rent Ikota Lekki Lagos," 4,000,000/year ",0LCWN,Ikota Lekki Lagos,3,4,4,"Furnished ,Serviced ,Newly Built",02 Apr 2024,02 May 2024
59,3 bedroom House for rent Ikota Lekki Lagos," 3,000,000/year ",2LCVN,Ikota Lekki Lagos,3,4,4,"Furnished ,Serviced ,Newly Built",01 Apr 2024,02 May 2024
60,4 bedroom House for rent Ikota Lekki Lagos," 5,000,000/year ",0LCVT,Ikota Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",01 Apr 2024,02 May 2024
61,5 bedroom House for rent Agungi Lekki Lagos," 6,000,000/year ",6LAYH,Agungi Lekki Lagos,5,6,6,"Furnished ,Serviced ,Newly Built",14 Mar 2024,02 May 2024
62,4 bedroom House for rent Lekki Phase 1 Lekki Lagos," 20,000,000 ",3LETQ,Lekki Phase 1 Lekki Lagos,4,5,5,"Furnished ,Serviced",19 Apr 2024,02 May 2024
63,"2 bedroom Flat / Apartment for rent Idera Estate, Amule Ayobo Ipaja Lagos"," 1,200,000/year ",5LEGB,"Idera Estate, Amule Ayobo Ipaja Lagos",2,0,0,,15 Apr 2024,02 May 2024
64,4 bedroom House for rent Ikate Lekki Lagos," 9,000,000/year ",0KZHW,Ikate Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",28 Feb 2024,02 May 2024
65,2 bedroom Flat / Apartment for rent Iya Odo Joke Ayobo Ipaja Lagos," 1,200,000/year ",2LEKE,Iya Odo Joke Ayobo Ipaja Lagos,2,0,0,,16 Apr 2024,02 May 2024
66,3 bedroom House for rent Ikate Lekki Lagos," 7,000,000 ",5LETR,Ikate Lekki Lagos,3,4,4,Serviced,19 Apr 2024,02 May 2024
67,3 bedroom House for rent Ikate Lekki Lagos," 7,000,000 ",5LETR,Ikate Lekki Lagos,3,4,4,,19 Apr 2024,02 May 2024
68,4 bedroom House for rent Orchid chevron Lekki Lagos," 4,000,000/year ",3LBJD,Orchid Chevron Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",18 Mar 2024,02 May 2024
69,4 bedroom House for rent Ikate Lekki Lagos," 15,000,000/year ",2LCRN,Ikate Lekki Lagos,4,5,5,Newly Built,30 Mar 2024,02 May 2024
70,1 bedroom Flat / Apartment for rent Akoka Yaba Lagos," 1,300,000/year ",2LEKG,Akoka Yaba Lagos,1,0,0,,16 Apr 2024,02 May 2024
71,1 bedroom Flat / Apartment for rent Awolowo way Ikeja Lagos," 1,800,000/year ",2LETX,Awolowo Way Ikeja Lagos,1,0,0,,23 Apr 2024,02 May 2024
72,4 bedroom House for rent Ikota Lekki Lagos," 4,500,000/year ",9KZLE,Ikota Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",29 Feb 2024,02 May 2024
73,4 bedroom House for rent Ikota Lekki Lagos," 7,500,000/year ",7LBNE,Ikota Lekki Lagos,4,5,5,"Serviced ,Newly Built",20 Mar 2024,02 May 2024
74,3 bedroom House for rent Old Ikoyi Ikoyi Lagos," 13,000,000/year ",9LDBP,Old Ikoyi Ikoyi Lagos,3,4,4,Serviced,03 Apr 2024,02 May 2024
75,5 bedroom House for rent Ikate Lekki Lagos," 10,000,000/year ",2LCVM,Ikate Lekki Lagos,5,6,6,"Furnished ,Serviced ,Newly Built",01 Apr 2024,02 May 2024
76,4 bedroom House for rent 2nd Toll Gate Lekki Lagos," 4,000,000/year ",7KZHY,2nd Toll Gate Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",28 Feb 2024,02 May 2024
77,2 bedroom Flat / Apartment for rent Victory Estate Berger Ojodu Lagos," 1,800,000/year ",4LEQY,Victory Estate Berger Ojodu Lagos,2,0,0,,18 Apr 2024,02 May 2024
78,2 bedroom Flat / Apartment for rent Badore Ajah Lagos," 1,800,000/year ",7LFKU,Badore Ajah Lagos,2,0,0,,25 Apr 2024,02 May 2024
79,5 bedroom House for rent Lekki Phase 1 Lekki Lagos," 12,000,000/year ",3KZLF,Lekki Phase 1 Lekki Lagos,5,6,6,"Furnished ,Serviced ,Newly Built",29 Feb 2024,02 May 2024
80,4 bedroom House for rent Chevron Alternative Lekki Lagos," 6,000,000/year ",3LCVQ,Chevron Alternative Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",01 Apr 2024,02 May 2024
81,4 bedroom House for rent Ikota Lekki Lagos," 12,000,000/year ",3LCVU,Ikota Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",01 Apr 2024,02 May 2024
82,3 bedroom House for rent Osapa london Lekki Lagos," 5,000,000/year ",0LCWP,Osapa London Lekki Lagos,3,4,4,"Furnished ,Serviced ,Newly Built",02 Apr 2024,02 May 2024
83,4 bedroom House for rent Ikoyi Lagos," 50,000/year ",4LCVP,Ikoyi Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",01 Apr 2024,02 May 2024
84,4 bedroom House for rent Ikoyi Lagos," 50,000/year ",4LCVP,Ikoyi Lagos,4,5,5,,01 Apr 2024,02 May 2024
85,4 bedroom House for rent Lekki Palm City Ajah Lagos," 5,000,000/year ",5LFRX,Lekki Palm City Ajah Lagos,4,5,5,Newly Built,27 Apr 2024,02 May 2024
86,1 bedroom Flat / Apartment for rent Bariga Lagos," 1,300,000/year ",9LDFW,Bariga Lagos,1,0,0,,05 Apr 2024,02 May 2024
87,4 bedroom House for rent Ikate Lekki Lagos," 10,000,000/year ",8LENH,Ikate Lekki Lagos,4,5,5,Newly Built,17 Apr 2024,02 May 2024
88,5 bedroom House for rent Old Ikoyi Ikoyi Lagos," 21,000,000/year ",5LENJ,Old Ikoyi Ikoyi Lagos,5,6,6,Newly Built,17 Apr 2024,02 May 2024
89,2 bedroom House for rent Lekki Phase 1 Lekki Lagos," 12,000,000/year ",9LEGM,Lekki Phase 1 Lekki Lagos,2,3,3,Newly Built,15 Apr 2024,02 May 2024
90,4 bedroom House for rent Ikota Lekki Lagos," 5,000,000/year ",0LBQG,Ikota Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",20 Mar 2024,02 May 2024
91,4 bedroom House for rent Ikota Lekki Lagos," 5,500,000/year ",8KZKW,Ikota Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",29 Feb 2024,02 May 2024
92,4 bedroom House for rent Orchid chevron Lekki Lagos," 5,500,000/year ",4KZKV,Orchid Chevron Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",29 Feb 2024,02 May 2024
93,3 bedroom House for rent Marwa By Pinnacle Filling Station Lekki Phase 1 Lekki Lagos," 8,000,000/year ",2LEBX,Marwa By Pinnacle Filling Station Lekki Phase 1 Lekki Lagos,3,4,4,Newly Built,13 Apr 2024,02 May 2024
94,5 bedroom House for rent Ikate Lekki Lagos," 8,500,000/year ",3LBQE,Ikate Lekki Lagos,5,6,6,"Furnished ,Serviced ,Newly Built",20 Mar 2024,02 May 2024
95,3 bedroom House for rent Agungi Lekki Lagos," 4,500,000/year ",5LCLH,Agungi Lekki Lagos,3,4,4,Serviced,28 Mar 2024,02 May 2024
96,4 bedroom House for rent ONIRU Victoria Island Lagos," 15,000,000/year ",0LFKV,Oniru Victoria Island Lagos,4,5,5,,25 Apr 2024,02 May 2024
97,3 bedroom House for rent Marwa Busttop Close To Pinnacle Filling Station Lekki Phase 1 Lekki Lagos," 8,000,000/year ",2LCKZ,Marwa Busttop Close To Pinnacle Filling Station Lekki Phase 1 Lekki Lagos,3,4,4,Serviced,28 Mar 2024,02 May 2024
98,4 bedroom House for rent Ologolo Lekki Lagos," 6,000,000/year ",9LCQE,Ologolo Lekki Lagos,4,5,5,"Serviced ,Newly Built",29 Mar 2024,02 May 2024
99,3 bedroom Flat / Apartment for rent Akoka Yaba Lagos," 3,500,000/year ",6LCCS,Akoka Yaba Lagos,3,0,0,,25 Mar 2024,02 May 2024
100,1 bedroom House for rent Lekki Phase 1 Lekki Lagos," 4,000,000/year ",9LEKJ,Lekki Phase 1 Lekki Lagos,1,1,1,Newly Built,16 Apr 2024,02 May 2024
101,3 bedroom House for rent Ikota Lekki Lagos," 3,500,000/year ",2LCWS,Ikota Lekki Lagos,3,4,4,"Furnished ,Serviced ,Newly Built",02 Apr 2024,02 May 2024
102,3 bedroom House for rent Ikota Lekki Lagos," 3,500,000/year ",5LCVT,Ikota Lekki Lagos,3,4,4,"Furnished ,Serviced ,Newly Built",01 Apr 2024,02 May 2024
103,4 bedroom House for rent Lekki Phase 1 Lekki Lagos," 9,000,000/year ",8LENN,Lekki Phase 1 Lekki Lagos,4,4,4,Newly Built,17 Apr 2024,02 May 2024
104,3 bedroom Flat / Apartment for rent Alapere Kosofe/Ikosi Lagos," 2,200,000/year ",0LEGB,Alapere Kosofe Ikosi Lagos,3,0,0,,15 Apr 2024,02 May 2024
105,1 bedroom Flat / Apartment for rent Ikeja Lagos," 900,000/year ",3LFAX,Ikeja Lagos,1,0,0,,22 Apr 2024,02 May 2024
106,2 bedroom Flat / Apartment for rent Ayobo Ipaja Lagos," 500,000/year ",7LEUG,Ayobo Ipaja Lagos,2,0,0,,19 Apr 2024,02 May 2024
107,2 bedroom House for rent Ikate Lekki Lagos," 8,000,000/year ",8LBNX,Ikate Lekki Lagos,2,3,3,"Furnished ,Serviced ,Newly Built",20 Mar 2024,02 May 2024
108,4 bedroom House for rent Victoria Island Lagos," 25,000,000/year ",7LBQD,Victoria Island Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",20 Mar 2024,02 May 2024
109,1 bedroom Flat / Apartment for rent Apata Ayobo Ipaja Lagos," 500,000/year ",3LEKC,Apata Ayobo Ipaja Lagos,1,0,0,,16 Apr 2024,02 May 2024
110,2 bedroom House for rent Ikate Lekki Lagos," 6,000,000/year ",8LBSK,Ikate Lekki Lagos,2,3,3,"Serviced ,Newly Built",21 Mar 2024,02 May 2024
111,4 bedroom House for rent Ikate Lekki Lagos," 10,000,000/year ",6KZDT,Ikate Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",27 Feb 2024,02 May 2024
112,4 bedroom House for rent Ikate Lekki Lagos," 7,500,000/year ",9LENL,Ikate Lekki Lagos,4,5,5,"Serviced ,Newly Built",17 Apr 2024,02 May 2024
113,4 bedroom House for rent Ajah Lagos," 4,500,000/year ",3LCVS,Ajah Lagos,4,5,5,"Furnished ,Newly Built",01 Apr 2024,02 May 2024
114,4 bedroom House for rent Ikate Lekki Lagos," 10,000,000/year ",0KZDX,Ikate Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",27 Feb 2024,02 May 2024
115,1 bedroom Flat / Apartment for rent Apata Shomolu Lagos," 700,000/year ",9LFAR,Apata Shomolu Lagos,1,0,1,,22 Apr 2024,02 May 2024
116,1 bedroom Flat / Apartment for rent Aboru Iyana Ipaja Ipaja Lagos," 850,000/year ",6LEUB,Aboru Iyana Ipaja Ipaja Lagos,1,0,2,,19 Apr 2024,02 May 2024
117,2 bedroom Flat / Apartment for rent Akilapa Ajah Lagos," 800,000/year ",1LFKU,Akilapa Ajah Lagos,2,0,0,,25 Apr 2024,02 May 2024
118,4 bedroom House for rent Ikota Lekki Lagos," 4,500,000/year ",1KZHW,Ikota Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",28 Feb 2024,02 May 2024
119,4 bedroom House for rent Ikota Lekki Lagos," 4,500,000/year ",1KZHW,Ikota Lekki Lagos,4,5,5,,28 Feb 2024,02 May 2024
120,3 bedroom House for rent Lekki Phase 1 Lekki Lagos," 10,000,000/year ",4LCXP,Lekki Phase 1 Lekki Lagos,3,4,4,"Serviced ,Newly Built",02 Apr 2024,02 May 2024
121,4 bedroom House for rent Ikate Lekki Lagos," 15,000,000/year ",4LBNW,Ikate Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",20 Mar 2024,02 May 2024
122,3 bedroom House for rent House On The Rock Ikate Lekki Lagos," 9,000,000/year ",5LBPA,House On The Rock Ikate Lekki Lagos,3,4,4,"Furnished ,Serviced ,Newly Built",20 Mar 2024,02 May 2024
123,4 bedroom House for rent Orchid chevron Lekki Lagos," 4,500,000/year ",8LBJB,Orchid Chevron Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",18 Mar 2024,02 May 2024
124,5 bedroom House for rent Ajah Lagos," 8,000,000/year ",5LBQE,Ajah Lagos,5,6,6,"Furnished ,Serviced ,Newly Built",20 Mar 2024,02 May 2024
125,2 bedroom House for rent Ikate Lekki Lagos," 7,000,000/year ",6LFZH,Ikate Lekki Lagos,2,3,3,"Serviced ,Newly Built",30 Apr 2024,02 May 2024
126,4 bedroom House for rent Lekki Lagos," 12,000,000/year ",9KZDU,Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",27 Feb 2024,02 May 2024
127,4 bedroom House for rent Ikota Lekki Lagos," 5,500,000/year ",6KZHV,Ikota Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",28 Feb 2024,02 May 2024
128,2 bedroom House for rent Ikate Lekki Lagos," 6,000,000/year ",2LCRK,Ikate Lekki Lagos,2,3,3,Newly Built,30 Mar 2024,02 May 2024
129,5 bedroom House for rent Lekki Phase 1 Lekki Lagos," 12,000,000/year ",8LFBH,Lekki Phase 1 Lekki Lagos,5,6,6,Newly Built,22 Apr 2024,02 May 2024
130,2 bedroom House for rent Banana Island Ikoyi Lagos," 12,000,000/year ",4LFBM,Banana Island Ikoyi Lagos,2,3,3,Newly Built,22 Apr 2024,02 May 2024
131,4 bedroom House for rent Orchid chevron Lekki Lagos," 6,500,000/year ",7KXML,Orchid Chevron Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",10 Feb 2024,02 May 2024
132,5 bedroom House for rent Ikota Lekki Lagos," 10,000,000/year ",3LEGM,Ikota Lekki Lagos,5,6,6,Newly Built,15 Apr 2024,02 May 2024
133,5 bedroom House for rent Old Ikoyi Ikoyi Lagos," 23,000,000/year ",5LEKC,Old Ikoyi Ikoyi Lagos,5,6,6,Newly Built,16 Apr 2024,02 May 2024
134,2 bedroom House for rent Agungi Lekki Lagos," 4,000,000/year ",0LDNV,Agungi Lekki Lagos,2,3,3,"Serviced ,Newly Built",08 Apr 2024,02 May 2024
135,4 bedroom House for rent Ajah Lagos," 4,000,000/year ",7LCVQ,Ajah Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",01 Apr 2024,02 May 2024
136,4 bedroom House for rent Ajah Lagos," 4,000,000/year ",7LCVQ,Ajah Lagos,4,5,5,,01 Apr 2024,02 May 2024
137,4 bedroom House for rent Orchid chevron Lekki Lagos," 5,000,000/year ",6LCWP,Orchid Chevron Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",02 Apr 2024,02 May 2024
138,5 bedroom House for rent Ikoyi Lagos," 35,000,000/year ",9LCWQ,Ikoyi Lagos,5,6,6,"Furnished ,Serviced ,Newly Built",02 Apr 2024,02 May 2024
139,1 bedroom House for rent Ikate Lekki Lagos," 5,000,000/year ",3LCWR,Ikate Lekki Lagos,1,2,2,"Furnished ,Serviced ,Newly Built",02 Apr 2024,02 May 2024
140,4 bedroom House for rent Gbagada Lagos," 5,000,000/year ",2LDFW,Gbagada Lagos,4,0,0,,05 Apr 2024,02 May 2024
141,3 bedroom Flat / Apartment for rent Igeshu Ayobo Ipaja Lagos," 800,000/year ",1LEKF,Igeshu Ayobo Ipaja Lagos,3,0,0,,16 Apr 2024,02 May 2024
142,2 bedroom House for rent Ologolo Lekki Lagos," 4,000,000/year ",5LEKK,Ologolo Lekki Lagos,2,2,2,Newly Built,16 Apr 2024,02 May 2024
143,4 bedroom House for rent Ikate Lekki Lagos," 8,000,000/year ",2LENM,Ikate Lekki Lagos,4,5,5,"Serviced ,Newly Built",17 Apr 2024,02 May 2024
144,3 bedroom House for rent Orchid chevron Lekki Lagos," 4,500,000/year ",1LCWP,Orchid Chevron Lekki Lagos,3,4,4,"Furnished ,Serviced ,Newly Built",02 Apr 2024,02 May 2024
145,3 bedroom House for rent Ikoyi Lagos," 15,000/year ",2LDHW,Ikoyi Lagos,3,4,4,Newly Built,05 Apr 2024,02 May 2024
146,3 bedroom House for rent Lekki Phase 1 Lekki Lagos," 7,000,000/year ",1LENP,Lekki Phase 1 Lekki Lagos,3,3,3,"Serviced ,Newly Built",17 Apr 2024,02 May 2024
147,4 bedroom House for rent Osapa london Lekki Lagos," 6,500,000/year ",4LBNY,Osapa London Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",20 Mar 2024,02 May 2024
148,4 bedroom House for rent Orchid chevron Lekki Lagos," 5,500,000/year ",1KXMN,Orchid Chevron Lekki Lagos,4,5,5,"Furnished ,Serviced ,Newly Built",10 Feb 2024,02 May 2024
149,4 bedroom House for rent Agungi Lekki Lagos," 7,000,000/year ",1LDHU,Agungi Lekki Lagos,4,5,5,Newly Built,05 Apr 2024,02 May 2024
