,Title,Price,PID,Location,Bedroom,Bathroom,Toilet,Status,Date Added,Date Updated
8512,Flat / Apartment for rent Lekki Phase 1 Lekki Lagos," 1,700,000/year ",2KDNS,Lekki Phase 1 Lekki Lagos,0,0,0,,16 Sep 2023,01 May 2024
8513,3 bedroom Flat / Apartment for rent Off Bicknor Bucknor Isolo Lagos," 750,000/year ",4LBYE,Off Bicknor Bucknor Isolo Lagos,3, , ,,23 Mar 2024,01 May 2024
8514,Commercial Property for rent Akoka Yaba Lagos," 10,000,000/year ",8LFZL,Akoka Yaba Lagos,0,0,0,,30 Apr 2024,01 May 2024
8515,1 bedroom Flat / Apartment for rent Ogudu Gra Maryland Ikeja Lagos," 2,000,000/year ",3LFRS,Ogudu Gra Maryland Ikeja Lagos,1,1, ,,27 Apr 2024,01 May 2024
8516,5 bedroom House for rent Lekki Phase 1 Lekki Lagos," 12,000,000/year ",4JWTU,Lekki Phase 1 Lekki Lagos,5,6,6,,15 Mar 2024,01 May 2024
8517,2 bedroom House for rent Thomas estate Ajah Lagos," 2,500,000/year ",0KSXM,Thomas Estate Ajah Lagos,2,3,3,,15 Mar 2024,01 May 2024
8518,3 bedroom House for rent Agungi Lekki Lagos," 6,000,000/year ",5KUJS,Agungi Lekki Lagos,3,4,4,,02 Apr 2024,01 May 2024
8519,5 bedroom House for rent Lekki Phase 1 Lekki Lagos," 15,000,000/year ",3KJJR,Lekki Phase 1 Lekki Lagos,5,6,6,,09 Feb 2024,01 May 2024
8520,3 bedroom House for rent Old Ikoyi Ikoyi Lagos," 10,000,000/year ",3KVJB,Old Ikoyi Ikoyi Lagos,3,4,4,,03 Apr 2024,01 May 2024
8521,4 bedroom House for rent Lekki Palm City Estate Ado Ajah Lagos," 5,000,000/year ",3KNWY,Lekki Palm City Estate Ado Ajah Lagos,4,5,5,,15 Mar 2024,01 May 2024
8522,Flat / Apartment for rent New Horizon 2 Extension Ikate Lekki Lagos," 2,500,000/year ",7KRNN,New Horizon 2 Extension Ikate Lekki Lagos,0,0,0,,11 Dec 2023,01 May 2024
